id,comp_bx,comp_by,comp_bz,comp_bt,lon_gsm,lat_gsm,density,speed,temperature
"{'date': '2019-11-05', 'time': '01:47:00'}",-5.07,-0.73,0.34,5.13,188.19,3.83,2.52,392.9,140993.0
"{'date': '2019-11-05', 'time': '01:48:00'}",-5.07,-0.69,0.47,5.13,187.75,5.21,2.45,401.0,177074.0
"{'date': '2019-11-05', 'time': '01:49:00'}",-5.05,-0.67,0.43,5.11,187.59,4.84,2.09,390.8,117920.0
"{'date': '2019-11-05', 'time': '01:50:00'}",-4.88,-0.62,0.84,4.99,187.26,9.67,1.75,377.7,80177.0
"{'date': '2019-11-05', 'time': '01:51:00'}",-4.91,-0.51,0.61,4.98,185.9,7.04,2.02,999999999.0,999999999.0
"{'date': '2019-11-05', 'time': '01:52:00'}",-3.13,0.16,-1.1,3.32,177.07,-19.35,2.02,392.6,128920.0
"{'date': '2019-11-05', 'time': '01:53:00'}",-2.77,0.18,-1.31,3.07,176.28,-25.23,3.81,371.8,102258.0
"{'date': '2019-11-05', 'time': '01:54:00'}",-2.77,0.05,-0.79,2.88,178.87,-15.81,4.39,378.8,112970.0
"{'date': '2019-11-05', 'time': '01:55:00'}",-3.56,-0.1,-0.89,3.67,181.68,-13.99,3.83,373.8,90355.0
"{'date': '2019-11-05', 'time': '01:56:00'}",-2.53,-0.07,-0.93,2.69,181.58,-20.08,3.76,369.1,67759.0
"{'date': '2019-11-05', 'time': '01:57:00'}",-2.44,-0.06,-0.98,2.63,181.51,-21.92,4.13,369.3,76354.0
"{'date': '2019-11-05', 'time': '01:58:00'}",-2.95,-0.15,-0.4,2.98,182.93,-7.79,4.08,371.7,78954.0
"{'date': '2019-11-05', 'time': '01:59:00'}",-3.44,0.07,-0.21,3.45,178.91,-3.56,3.48,369.7,80151.0
"{'date': '2019-11-05', 'time': '02:00:00'}",-3.52,0.12,-0.46,3.55,178.06,-7.49,3.22,370.1,83416.0
"{'date': '2019-11-05', 'time': '02:01:00'}",-3.58,0.12,-0.61,3.64,178.06,-9.59,3.27,373.4,92010.0
"{'date': '2019-11-05', 'time': '02:02:00'}",-4.03,0.03,-0.45,4.06,179.59,-6.43,3.17,375.7,105738.0
"{'date': '2019-11-05', 'time': '02:03:00'}",-4.01,-0.04,-0.25,4.02,180.63,-3.49,3.03,376.8,97871.0
"{'date': '2019-11-05', 'time': '02:04:00'}",-2.88,0.12,-0.47,2.92,177.52,-9.21,2.98,371.9,76183.0
"{'date': '2019-11-05', 'time': '02:05:00'}",-3.66,-0.19,-0.07,3.66,182.94,-1.14,4.01,376.7,103447.0
